year,at,be,ch,de,dk,es,fr,gb,ie,it,lu,nl,no,pt,se
2015,3.81818E+11,4.6215E+11,6.79832E+11,3.35624E+12,3.02673E+11,1.19512E+12,2.43821E+12,2.92859E+12,17389101639,1.8359E+12,57744457955,7.65265E+11,3.85802E+11,1.99314E+11,5.05104E+11
2016,3.95569E+11,4.7574E+11,6.71309E+11,3.47E+12,3.13E+11,1.23208E+12,2.47129E+12,2.69428E+12,20618363252,1.8758E+12,60691483443,7.84E+11,3.69E+11,2.06E+11,5.15655E+11
2017,4.17238E+11,5.02698E+11,6.71E+11,3.68E+12,3.32121E+11,1.31254E+12,2.59515E+12,2.66623E+12,24488176541,1.9618E+12,64181944723,8.3387E+11,3.98394E+11,2.21358E+11,5.41019E+11
2018,4.55095E+11,5.44E+11,7.05E+11,3.96377E+12,3.57E+11,1.42215E+12,2.78786E+12,2.86067E+12,25737594324,2.09E+12,70919958016,9.14043E+11,4.34167E+11,2.42313E+11,5.55455E+11
2019,4.45075E+11,5.33E+11,7.03E+11,3.86112E+12,3.50104E+11,1.39E+12,2.71552E+12,2.82911E+12,24188038474,2.00E+12,71104919108,9.07051E+11,4.03336E+11,2.38785E+11,5.30884E+11
