year,at,be,ch,de,dk,es,fr,gb,ie,it,lu,nl,no,pt,se
2015,8642699,11274196,8282396,5683483,81686611,46444832,66548272,65116219,4701957,60730582,569604,16939923,5188607,10358076,9799186
2016,8736668,11331422,8373338,5728010,82348669,46484062,66724104,65611593,4755335,60627498,582014,17030314,5234519,10325452,9923085
2017,8797566,11375158,8451840,5764980,82657002,46593236,66918020,66058859,4807388,60536709,596336,17131296,5276968,10300300,10057698
2018,8840521,11427054,8514329,5793636,82905782,46797754,67101930,66460344,4867316,60421760,607950,17231624,5311916,10283822,10175214
2019,8879920,11488980,8575280,5814422,83092962,47134837,67248926,66836327,4934340,59729081,620001,17344874,5347896,10286263,10278887
